Commit A,Commit B,Benchmark,Del Func >= X,New Func >= X,Reached Del Func >= X,Top Chg by Call >= X%,Top > X% by Call Chg by >= 10%,Top Chg Len >= X%,Top Reached Chg Len >= X%,AltCountLineBlank,CountLineInactive,MaxCyclomaticStrict,MaxNesting,AvgLineCode,AvgLineComment,Hit
d9545c7f,8f449614,p0000-perf-lib-sanity.sh-perf-report,983,515,7,0.07,0.03,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p0001-rev-list.sh-perf-report,983,515,16,12.49,3.2,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p0002-read-cache.sh-perf-report,983,515,0,0,0,1,0.3125,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p4000-diff-algorithms.sh-perf-report,983,515,14,0.22,0.14,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p4001-diff-no-index.sh-perf-report,983,515,3,0.04,0.04,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p4211-line-log.sh-perf-report,983,515,9,0.72,0.72,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p5302-pack-index.sh-perf-report,983,515,20,0.26,0.07,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p5310-pack-bitmaps.sh-perf-report,983,515,25,4.88,1.3,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p7000-filter-branch.sh-perf-report,983,515,45,5.21,2.59,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p7300-clean.sh-perf-report,983,515,10,10.54,0.42,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
d9545c7f,8f449614,p7810-grep.sh-perf-report,983,515,6,0.03,0.03,1,1,1855,168,0,0,-0.003675811,-0.037833961,FALSE
8f449614,12913a78,p4001-diff-no-index.sh-perf-report,569,995,3,0.06,0.02,1,1,-2008,-166,0,0,0.003675811,0.037833961,TRUE
bb0ba997,7a3eb9e2,p0000-perf-lib-sanity.sh-perf-report,0,1,0,0,0,0,0,-2,0,0,0,0,0,TRUE
bb0ba997,7a3eb9e2,p0001-rev-list.sh-perf-report,0,1,0,0,0,0,0,-2,0,0,0,0,0,TRUE
dcde8b3d,2fc0f184,p0000-perf-lib-sanity.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p0001-rev-list.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p0002-read-cache.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p4000-diff-algorithms.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p4001-diff-no-index.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p4211-line-log.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p5302-pack-index.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p5310-pack-bitmaps.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p7000-filter-branch.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p7300-clean.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
dcde8b3d,2fc0f184,p7810-grep.sh-perf-report,8,8,0,0,0,0,0,-2,0,0,0,0,0,FALSE
2fc0f184,2e3926b9,p0000-perf-lib-sanity.sh-perf-report,84,123,1,0.01,0,1,0.017241379,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p0001-rev-list.sh-perf-report,84,123,0,7.35,0,1,0.0625,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p0002-read-cache.sh-perf-report,84,123,0,0,0,1,0,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p4000-diff-algorithms.sh-perf-report,84,123,2,1.95,0.66,1,1,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p4001-diff-no-index.sh-perf-report,84,123,2,0.01,0,1,0.043478261,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p4211-line-log.sh-perf-report,84,123,0,8.25,0,1,0.212121212,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p5302-pack-index.sh-perf-report,84,123,3,0.15,0.07,1,0.1,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p5310-pack-bitmaps.sh-perf-report,84,123,6,3.03,0,1,1,172,4,0,0,0.007575758,0.005681818,FALSE
2fc0f184,2e3926b9,p7000-filter-branch.sh-perf-report,84,123,8,0.02,0.01,1,1,172,4,0,0,0.007575758,0.005681818,FALSE
